Implementing a block chain      000000000000Jan  5 00:00:00 197000000000000000000000000000000000000000000000000000000000
today in what will go down in   1       voidJan  7 20:37:46 2018df29a4525d165cd148af67028e253c95.fbhh540194qoq8u38kecev1
history as the greatest         2       voidJan  7 20:37:46 201800000b85a714e1106df5921501b9b1ae.0mfrpbff8addk2qog35mgjo
demonstration for freedom in    3       voidJan  7 20:37:47 201800000a72613d0d6a79fd4abe21dea9a2.m394p6ft8o7a16e5iidns66
the history of our nation.      4       voidJan  7 20:37:47 2018000005259ef51d6bf51dcb60120d1db6.b03mri49gl4pfk364khedun
Five score years ago, a great   5       voidJan  7 20:37:48 201800000cb333f9a13dc9d9121b548c98f5.0d1lvf4tts35lgdhvf2menp
American, in whose symbolic     6       voidJan  7 20:37:48 2018000006f9708b8dc39d4cb8f32a2449a2.afknoq4brsov5tjbs8qo84t
shadow we stand today, signed   7       voidJan  7 20:37:49 201800000d9c7fbe7841ca5ebebc743ba22c.nfa4jmvpeghlgd0f6e376u4
the Emancipation Proclamation.  8       voidJan  7 20:37:50 2018000002244e6dfe2368cf1dfaf974dbe4.sldh4na6qfli43tc772j47q
This momentous decree came as   9       voidJan  7 20:37:50 20180000082af151399dfef0fb94d37dc479.m8ghi45i5fqoq0udsf23trm
a great beacon light of hope    10      voidJan  7 20:37:52 20180000004b5c8239268c0b141c56eb7c21.rkbvirqm3vcsva35ieo4lfs
to millions of Negro slaves     11      voidJan  7 20:37:53 2018000000fe412d73dd1d096121afae5fdf.m2mok07aardjdrsulp4rs0r
who had been seared in the      12      voidJan  7 20:37:53 2018000002344d7216bd20905022903987ea.3ramf4e9mdqa1o6fp09iinf
flames of withering injustice.  13      voidJan  7 20:37:55 2018000006559ed555ca922cb3b2e8d2552e.bfv5rj6jn9bqusattvn2nf7
It came as a joyous daybreak    14      voidJan  7 20:37:56 20180000079b25adb12f41e622c7a63f6f5e.97l32rc1psl4lcmb6744mhc
to end the long night of their  15      voidJan  7 20:37:56 20180000017aa19e069918c587a0c4d69b28.lq9rjosh2hc1c42ousng4ot
captivity. But one hundred      16      voidJan  7 20:37:57 201800000a8a1dde1937ab282f0d0bf5dc08.sku2n8guup2mh9lqm0j341u
years later, the Negro still    17      voidJan  7 20:37:58 201800000dde56691379ea09fbae5c8d04be.5l4jci6k5todg83jgs9pd82
is not free. One hundred years  18      voidJan  7 20:37:58 2018000004fc3cc6a865b4303f76f9b54b27.ftcagf8poilmr5kpqiu602d
later, the life of the Negro    19      voidJan  7 20:37:59 20180000093db3a2d814425ae0e15eb79d5c.1qo648a48nab88sp3jvklts
is still sadly crippled by the  20      voidJan  7 20:38:01 201800000f0421b00b68829df100b6cc300a.pmq3v1r7fkaga1snusa01dj
manacles of segregation and     21      voidJan  7 20:38:04 201800000ef36217d8bd6c56baea905a1930.agvrd6drl5dcbvu839qe0mr
the chains of discrimination.   22      voidJan  7 20:38:04 201800000ef85d90999f35619e3793f9c752.hjbsig9lbua5shsokd0gqf6
One hundred years later, the    23      voidJan  7 20:38:04 2018000002c1857d22cd5aa1bedead32f2ac.vdbv47ao8lvpe8vt8vgs0t7
Negro lives on a lonely island  24      voidJan  7 20:38:05 201800000b194bd8db8f3db9c5cc8dfc9ce8.mum6d1eb75pagvee5bbkv9m
of poverty in the midst of a    25      voidJan  7 20:38:06 201800000378806f636a99700065cfb37f97.i2f49f8id4rlhqqn9osek4s
vast ocean of material          26      voidJan  7 20:38:06 201800000c5d696962baf26cfc03181a4bd7.h4kfbth7mejirlv2984pn0f
prosperity. One hundred years   27      voidJan  7 20:38:07 201800000ecb37202d7f7bccd04493e1d0f0.ec5vjheb9216ukt6tqlt2bg
later, the Negro is still       28      voidJan  7 20:38:07 201800000596ef9e7e5257567b4c0c10aeea.61puov7gq9bcqo2m47krf16
languishing in the corners of   29      voidJan  7 20:38:08 2018000009bc4ef15bdb82fca3e91750a826.mvtkteqnu5grro0es0nk3a0
American society and finds      30      voidJan  7 20:38:08 2018000001e2e5ab187ce89b9212878c52f8.hdhgnlblqdgj1o5t78gedaa
himself an exile in his own     31      voidJan  7 20:38:08 201800000c79acdf00f18c125f28f5fa0e33.4mtvp73ed9p87fdpocvc4vp
land. So we have come here      32      voidJan  7 20:38:08 201800000258eec6b0bcc60b7117cc3a0253.rfnag4fbpe8ikvpn6c69biq
today to dramatize a shameful   33      voidJan  7 20:38:10 20180000052e8d120718a6d31b6e84e5e978.oar7emlpt5vgl1gdcrdao9t
condition. In a sense we have   34      voidJan  7 20:38:11 201800000ff82cab07662eebb1552a8aff6a.4j99ub4jg1cieor2d4qkpcl
come to our nation's capital    35      voidJan  7 20:38:11 2018000001b1b6d79a702a8166601e783b50.lbqrni0h6ll9kqn4aupfrav
to cash a check. When the       36      voidJan  7 20:38:12 201800000247b872e984f8be171517c947e2.lenesuidhiussh8rfgn6qfn
